similarity,feature
0.5260066986083984,1
0.5039963722229004,0
0.5142548680305481,1
0.5050607919692993,0
0.5333272218704224,0
0.580075204372406,0
0.6983499526977539,1
0.6091262102127075,1
0.5910294055938721,1
0.5070018172264099,0
0.5419265031814575,0
0.6039081811904907,1
0.592848002910614,1
0.4994543194770813,0
0.5003921985626221,0
0.5042194128036499,1
0.6112385392189026,1
0.5779472589492798,1
0.5310306549072266,0
0.5949556827545166,1
0.547027587890625,1
0.5240415334701538,0
0.5167893171310425,1
0.5604661107063293,1
0.5179569721221924,0
0.5671453475952148,0
0.6233875751495361,1
0.5253634452819824,0
0.6678013205528259,1
0.5045529007911682,0
0.5285938382148743,0
0.5933085680007935,1
0.5157967805862427,0
0.5928034782409668,1
0.48610860109329224,1
0.5213205814361572,0
0.6257104873657227,1
0.4940803050994873,0
0.5710829496383667,1
0.5618288516998291,1
0.48768550157546997,0
0.6861444711685181,1
0.7437981367111206,1
0.4818447232246399,1
0.52647864818573,0
0.5509824752807617,1
0.5466909408569336,0
0.6503974199295044,1
0.5282502770423889,0
0.490689754486084,0
0.5324816703796387,0
0.7243422269821167,1
0.637627363204956,1
0.6488652229309082,1
0.6965656280517578,1
0.49583005905151367,0
0.6288561820983887,1
0.5594273805618286,0
0.5142511129379272,0
0.5521434545516968,1
0.6091865301132202,1
0.49751436710357666,0
0.5215321779251099,0
0.6931679248809814,1
0.6438698172569275,1
0.5294520854949951,1
0.5650472640991211,1
0.6393676400184631,1
0.6745136976242065,1
0.5773976445198059,0
0.5230355262756348,0
0.5999447107315063,1
0.5414857864379883,1
0.5159287452697754,0
0.6285114884376526,1
0.49405449628829956,0
0.492922842502594,0
0.7097442150115967,1
0.5260204076766968,0
0.49308133125305176,0
0.5408521294593811,1
0.6268515586853027,1
0.5142780542373657,0
0.5514333844184875,0
0.49300825595855713,0
0.669572114944458,1
0.5085734128952026,0
0.5474922060966492,1
0.6461058855056763,1
0.48344409465789795,0
0.48429441452026367,0
0.5164875984191895,0
0.5466435551643372,0
0.5411818027496338,0
0.5824087262153625,1
0.5271426439285278,1
0.5184119939804077,1
0.5166559219360352,0
0.5486570000648499,1
0.5403419137001038,1
0.6677241325378418,1
0.5341497659683228,0
0.5277001857757568,0
0.5026408433914185,0
0.5666618347167969,0
0.5589497089385986,0
0.5043033957481384,0
0.5265915393829346,1
0.5150448083877563,0
0.6936116218566895,1
0.5742432475090027,0
0.49243056774139404,0
0.49191683530807495,0
0.5282255411148071,0
0.5867654085159302,1
0.6429868936538696,1
0.5749063491821289,1
0.534826397895813,0
0.6493200063705444,1
0.5260677337646484,0
0.47259950637817383,0
0.6740435361862183,1
0.5344833731651306,0
0.7293416857719421,1
0.5546107888221741,0
0.5295119285583496,0
0.5425637364387512,1
0.4797095060348511,0
0.665233850479126,1
0.508723258972168,0
0.5242953300476074,0
0.4894945025444031,0
0.5867342948913574,1
0.5410038232803345,1
0.6642054319381714,1
0.5038512945175171,0
0.5347617864608765,0
0.49941354990005493,0
0.5197741985321045,0
0.6746636629104614,1
0.5206871032714844,0
0.48853665590286255,0
0.5496821403503418,0
0.6200443506240845,1
0.5109884142875671,0
0.5393269062042236,0
0.5512136220932007,1
0.516310453414917,0
0.653761625289917,1
0.5097147822380066,0
0.6946969032287598,1
0.4774242043495178,1
0.6225157976150513,1
0.5318847894668579,0
0.7207224369049072,1
0.610092282295227,1
0.5185866355895996,0
0.5333942770957947,1
0.7387838959693909,1
0.6531254053115845,1
0.6073874235153198,1
0.6272085905075073,1
0.5281938314437866,1
0.5245628356933594,0
0.5274103879928589,1
0.4849669933319092,0
0.7122679352760315,1
0.518582820892334,1
0.5991417765617371,1
0.5285215377807617,0
0.5052910447120667,1
0.4927677512168884,0
0.5833337306976318,0
0.634233832359314,0
0.534180760383606,1
0.624056339263916,1
0.5890368223190308,1
0.6390460729598999,1
0.6067891120910645,1
0.5122894048690796,0
0.5938684940338135,1
0.6531078815460205,1
0.5844333171844482,1
0.7452230453491211,1
0.5038349628448486,0
0.5405929088592529,0
0.549420177936554,1
0.516854465007782,0
0.49577802419662476,0
0.5207410454750061,0
0.6258419752120972,1
0.5624357461929321,1
0.583400547504425,1
0.5336281061172485,0
0.5001488327980042,0
0.6107380390167236,0
0.48425137996673584,0
0.6679372787475586,1
0.5866745710372925,1
0.5203821063041687,0
0.5201437473297119,1
0.5370430946350098,0
0.48485296964645386,0
0.5359917879104614,1
0.4941245913505554,0
0.5233050584793091,0
0.5187519788742065,0
0.6778568029403687,1
0.5166217088699341,0
0.5140289068222046,1
0.6300514936447144,0
0.5875694751739502,0
0.7212241291999817,1
0.568294882774353,1
0.5021296739578247,1
0.4861881732940674,0
0.5162767171859741,0
0.6625024080276489,1
0.520887017250061,1
0.5493628978729248,0
0.5399510860443115,0
0.5336884260177612,1
0.511488139629364,0
0.6176626682281494,0
0.5885026454925537,1
0.5378561019897461,0
0.6872304677963257,1
0.5204982757568359,0
0.4914214611053467,0
0.6498206853866577,1
0.7022037506103516,1
0.6017228364944458,1
0.745759129524231,1
0.48427385091781616,1
0.4946383833885193,0
0.5156880617141724,1
0.5271619558334351,0
0.6434626579284668,1
0.5288758873939514,0
0.6580758690834045,1
0.619174599647522,1
0.5070489645004272,0
0.5349423885345459,0
0.6924465298652649,1
0.5205403566360474,0
0.5345345735549927,0
0.559104323387146,1
